time,place,latitude,longitude,mag,country,sub_continent,continent
2023-01-18T10:08:14.083Z,Turkey-Iran border region,38.4382,44.9433,5.7,Iran,Southern Asia,Asia
2023-01-18T08:01:26.318Z,"146 km NW of Tobelo, Indonesia",2.7047,127.1169,5.5,Indonesia,South-eastern Asia,Asia
2023-01-18T06:06:11.334Z,"156 km NW of Tobelo, Indonesia",2.7357,127.0274,7,Indonesia,South-eastern Asia,Asia
2023-01-18T00:34:45.136Z,"Sulawesi, Indonesia",-0.0134,123.2002,6,Indonesia,South-eastern Asia,Asia
2023-01-16T04:49:51.935Z,"Bonin Islands, Japan region",28.9804,139.3452,6.3,Japan,Eastern Asia,Asia
2023-01-15T22:29:58.919Z,"40 km SE of Singkil, Indonesia",2.0042,98.0141,6.2,Indonesia,South-eastern Asia,Asia
2023-01-15T12:04:17.706Z,"21 km WNW of Port-Olry, Vanuatu",-14.9612,166.8939,5.6,Vanuatu,Melanesia,Oceania
2023-01-12T16:28:51.520Z,South of the Fiji Islands,-21.8978,179.7023,5.5,Fiji,Melanesia,Oceania
2023-01-12T06:19:10.052Z,"17 km W of Ovalle, Chile",-30.6176,-71.3759,5.5,Chile,Southern America,South America
2023-01-11T16:17:45.683Z,Southern East Pacific Rise,-49.8496,-114.2216,5.8,Chile,Southern America,South America
2023-01-11T11:30:27.799Z,Tonga region,-23.2118,-175.3039,5.6,Tonga,Polynesia,Oceania
2023-01-11T08:39:52.972Z,"36 km NW of Port-Olry, Vanuatu",-14.7776,166.8713,5.8,Vanuatu,Melanesia,Oceania
2023-01-10T05:24:49.026Z,"16 km ENE of Port-Olry, Vanuatu",-15.0023,167.2176,5.7,Vanuatu,Melanesia,Oceania
2023-01-09T17:47:35.038Z,"Pulau Pulau Tanimbar, Indonesia",-7.0652,130.0047,7.6,Indonesia,South-eastern Asia,Asia
2023-01-08T12:32:42.368Z,Vanuatu,-14.9464,166.8808,7,Vanuatu,Melanesia,Oceania
2023-01-06T11:52:37.478Z,South of the Fiji Islands,-24.7523,-179.9677,5.9,Tonga,Polynesia,Oceania
2023-01-05T14:25:53.152Z,"45 km S of Jurm, Afghanistan",36.4617,70.7387,6,Afghanistan,Southern Asia,Asia
2023-01-03T18:19:25.559Z,Central Mid-Atlantic Ridge,0.8249,-29.2413,5.5,Brazil,Southern America,South America
2023-01-01T18:26:42.771Z,Southern East Pacific Rise,-56.27,-123.4668,5.8,Pitcairn,Polynesia,Oceania
2023-01-01T18:24:29.845Z,"10 km E of Jayapura, Indonesia",-2.527,140.8105,5.5,Indonesia,South-eastern Asia,Asia
2022-12-28T16:34:20.266Z,Southeast of the Loyalty Islands,-21.2543,171.3886,6.1,Vanuatu,Melanesia,Oceania
2022-12-27T01:00:46.392Z,Tonga region,-22.0141,-174.4863,5.5,Tonga,Polynesia,Oceania
2022-12-26T12:21:07.723Z,"66 km ENE of ?d?grat, Ethiopia",14.521,40.0212,5.5,Ethiopia,Eastern Africa,Africa
2022-12-26T05:27:53.482Z,Fiji region,-19.2301,-177.561,5.5,Tonga,Polynesia,Oceania
2022-12-24T08:35:41.508Z,"Bonin Islands, Japan region",28.2943,138.8056,5.5,Japan,Eastern Asia,Asia
2022-12-23T08:39:24.035Z,Pacific-Antarctic Ridge,-65.357,-179.7737,5.8,New Zealand,Australia and New Zealand,Oceania
2022-12-22T13:13:55.515Z,"46 km NNE of Pucallpa, Peru",-7.9816,-74.4173,5.5,Peru,Southern America,South America
2022-12-20T16:38:41.339Z,South of the Kermadec Islands,-33.7962,-179.7541,5.6,New Zealand,Australia and New Zealand,Oceania
2022-12-20T10:34:24.770Z,"15km WSW of Ferndale, CA",40.525,-124.423,6.4,United States,Northern America,North America
2022-12-17T18:06:02.988Z,"25 km ESE of Miyazaki, Japan",31.7958,131.6429,5.6,Japan,Eastern Asia,Asia
2022-12-15T14:32:23.385Z,"40 km S of Puerto El Triunfo, El Salvador",12.9159,-88.5083,5.6,El Salvador,Central America,North America
2022-12-15T04:03:15.817Z,,23.7695,121.8115,5.9,Taiwan,Eastern Asia,Asia
2022-12-14T18:40:26.898Z,"Rat Islands, Aleutian Islands, Alaska",51.6079,178.5971,6.3,Russia,Eastern Europe,Europe
2022-12-13T14:25:17.214Z,"95 km S of Naze, Japan",27.5074,129.5492,5.6,Japan,Eastern Asia,Asia
2022-12-12T18:27:34.321Z,South of Panama,4.8488,-82.7665,5.5,Panama,Central America,North America
2022-12-11T14:31:29.438Z,"Guerrero, Mexico",17.2004,-100.5405,6,Mexico,Central America,North America
2022-12-11T06:40:21.197Z,South Sandwich Islands region,-58.7309,-25.4268,5.6,South Georgia and the South Sandwich Islands,Southern America,South America
2022-12-10T06:41:29.730Z,"20 km SSE of San Pedro de Atacama, Chile",-23.0906,-68.1419,5.6,Chile,Southern America,South America
2022-12-09T20:01:56.492Z,"6 km ESE of Nangan, Philippines",6.4472,126.1762,5.6,Philippines,South-eastern Asia,Asia
2022-12-09T06:32:59.635Z,"96 km NE of Cabatuan, Philippines",13.1588,125.8253,5.8,Philippines,South-eastern Asia,Asia
2022-12-08T14:45:26.269Z,Pacific-Antarctic Ridge,-63.1145,-163.6702,5.6,New Zealand,Australia and New Zealand,Oceania
2022-12-08T10:06:35.567Z,Samoa Islands region,-14.9567,-173.0672,5.5,Tonga,Polynesia,Oceania
2022-12-08T06:42:15.112Z,"7 km E of Tsurib, Russia",42.236,46.9267,5.5,Russia,Eastern Europe,Europe
2022-12-08T00:50:55.572Z,"17 km NW of Ciranjang-hilir, Indonesia",-6.7109,107.1456,5.8,Indonesia,South-eastern Asia,Asia
2022-12-06T09:34:51.134Z,,-40.8109,78.5642,5.5,French Southern Territories,Eastern Africa,Africa
2022-12-06T06:07:48.037Z,"269 km S of Kencong, Indonesia",-10.7234,113.386,5.9,Indonesia,South-eastern Asia,Asia
2022-12-06T05:57:59.099Z,Southern East Pacific Rise,-34.1177,-112.4366,5.5,Chile,Southern America,South America
2022-12-05T18:16:12.113Z,,-26.6668,-114.0671,5.5,Chile,Southern America,South America
2022-12-05T16:19:23.716Z,"109 km NE of Hihifo, Tonga",-15.2285,-173.1022,5.6,Tonga,Polynesia,Oceania
2022-12-05T05:35:06.805Z,Santa Cruz Islands,-11.2727,166.2446,5.8,Solomon Islands,Melanesia,Oceania
2022-12-04T19:24:15.394Z,"109 km NE of Hihifo, Tonga",-15.3497,-172.9867,6.8,Tonga,Polynesia,Oceania
2022-12-04T19:00:07.489Z,"279 km SSE of Isangel, Vanuatu",-21.6779,170.7032,5.5,Vanuatu,Melanesia,Oceania
2022-12-04T09:53:12.817Z,"34 km S of Lambaréné, Gabon",-1.0138,10.2364,5.5,Gabon,Middle Africa,Africa
2022-12-03T09:49:40.213Z,"20 km ESE of Banjar, Indonesia",-7.2331,107.6139,5.6,Indonesia,South-eastern Asia,Asia
2022-12-02T12:35:11.060Z,Bouvet Island region,-53.9482,2.729,5.6,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa
2022-11-30T15:17:41.697Z,Southern Iran,26.8866,55.2391,5.7,Iran,Southern Asia,Asia
2022-11-29T23:50:37.777Z,,53.9193,-35.1038,5.5,Greenland,Northern America,North America
2022-11-29T15:54:45.615Z,Reykjanes Ridge,53.8201,-35.1544,5.5,Greenland,Northern America,North America
2022-11-28T02:51:23.655Z,"275 km SSW of Lajes das Flores, Portugal",37.0894,-32.4044,5.9,Portugal,Southern Europe,Europe
2022-11-27T14:04:10.400Z,Pacific-Antarctic Ridge,-55.0757,-128.5306,5.5,Pitcairn,Polynesia,Oceania
2022-11-27T02:50:53.458Z,Easter Island region,-24.8359,-112.1279,5.5,Chile,Southern America,South America
2022-11-26T06:05:35.681Z,,18.7607,146.9612,5.6,Northern Mariana Islands,Micronesia,Oceania
2022-11-25T13:46:54.249Z,Solomon Islands,-9.8314,159.7962,5.7,Solomon Islands,Melanesia,Oceania
2022-11-23T01:08:15.435Z,"15 km W of Düzce, Turkey",40.8356,30.9831,6.1,Turkey,Western Asia,Asia
2022-11-22T21:13:11.020Z,South Sandwich Islands region,-59.9253,-27.8646,5.5,South Georgia and the South Sandwich Islands,Southern America,South America
2022-11-22T16:39:05.789Z,"28 km SW of Las Brisas, Mexico",30.7936,-116.3907,6.2,Mexico,Central America,North America
2022-11-22T02:37:57.529Z,Solomon Islands,-9.8203,159.4589,6,Solomon Islands,Melanesia,Oceania
2022-11-22T02:13:03.111Z,"20 km WSW of Malango, Solomon Islands",-9.7898,159.554,5.6,Solomon Islands,Melanesia,Oceania
2022-11-22T02:07:53.530Z,"35 km WSW of Malango, Solomon Islands",-9.7991,159.4073,5.5,Solomon Islands,Melanesia,Oceania
2022-11-22T02:03:06.891Z,"18 km SW of Malango, Solomon Islands",-9.8198,159.6033,7,Solomon Islands,Melanesia,Oceania
2022-11-21T15:09:29.003Z,"86 km SSE of Nikolski, Alaska",52.2913,-168.1639,5.5,United States,Northern America,North America
2022-11-21T06:21:07.066Z,"11 km NE of Sukabumi, Indonesia",-6.836,106.9968,5.6,Indonesia,South-eastern Asia,Asia
2022-11-20T23:24:58.462Z,"Crete, Greece",35.8357,26.4319,5.5,Greece,Southern Europe,Europe
2022-11-19T00:49:38.441Z,Southwest of Africa,-52.3135,13.7826,5.5,South Africa,Southern Africa,Africa
2022-11-18T13:37:08.687Z,"204 km SW of Bengkulu, Indonesia",-4.9043,100.7862,6.9,Indonesia,South-eastern Asia,Asia
2022-11-17T11:21:29.823Z,"257 km ESE of Tadine, New Caledonia",-22.2473,170.2616,5.5,New Caledonia,Melanesia,Oceania
2022-11-16T22:26:52.703Z,"142 km SE of Lata, Solomon Islands",-11.7284,166.6162,5.8,Solomon Islands,Melanesia,Oceania
2022-11-16T06:01:32.035Z,"197 km WSW of Bengkulu, Indonesia",-4.7623,100.7623,5.5,Indonesia,South-eastern Asia,Asia
2022-11-14T15:01:52.857Z,Pacific-Antarctic Ridge,-64.0075,-167.855,5.6,New Zealand,Australia and New Zealand,Oceania
2022-11-14T08:08:26.124Z,"85 km SSE of Toba, Japan",33.8139,137.3055,6.1,Japan,Eastern Asia,Asia
2022-11-14T05:04:11.890Z,South of the Fiji Islands,-26.0027,178.2034,6.1,Fiji,Melanesia,Oceania
2022-11-13T02:24:57.830Z,"Near the coast of Bio-Bio, Chile",-37.4652,-73.6757,6.2,Chile,Southern America,South America
2022-11-13T02:24:01.222Z,"Near the coast of Bio-Bio, Chile",-37.553,-73.7598,5.7,Chile,Southern America,South America
2022-11-12T07:09:13.514Z,,-20.1112,-178.3453,7,Tonga,Polynesia,Oceania
2022-11-12T04:39:46.329Z,"12 km E of La Gomera, Guatemala",14.1024,-90.94,5.8,Guatemala,Central America,North America
2022-11-11T10:48:46.710Z,"205 km ESE of Neiafu, Tonga",-19.2881,-172.1471,7.3,Tonga,Polynesia,Oceania
2022-11-10T05:01:05.611Z,"16 km SSE of Shi Yomi, India",28.3835,94.4118,5.5,India,Southern Asia,Asia
2022-11-09T10:14:33.810Z,,-25.5781,178.2612,6.6,Fiji,Melanesia,Oceania
2022-11-09T09:51:04.068Z,South of the Fiji Islands,-26.0901,178.3427,7,Fiji,Melanesia,Oceania
2022-11-09T09:38:42.828Z,South of the Fiji Islands,-26.0077,178.2776,6.8,Fiji,Melanesia,Oceania
2022-11-09T06:07:26.657Z,Central Italy,43.9315,13.3152,5.6,Italy,Southern Europe,Europe
2022-11-08T20:27:22.316Z,Nepal,29.2917,81.1593,5.7,Nepal,Southern Asia,Asia
2022-11-06T00:03:12.098Z,"124 km N of Manado, Indonesia",2.5867,124.6644,5.6,Indonesia,South-eastern Asia,Asia
2022-11-04T10:02:46.346Z,,28.1573,-112.3106,6.1,Mexico,Central America,North America
2022-11-04T04:26:09.876Z,El Salvador,13.1449,-89.5573,5.7,El Salvador,Central America,North America
2022-11-03T20:59:24.687Z,Southern Mid-Atlantic Ridge,-41.0201,-16.6513,5.5,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa
2022-11-02T14:17:53.832Z,South Sandwich Islands region,-60.7841,-25.7774,6.1,South Georgia and the South Sandwich Islands,Southern America,South America
2022-11-02T04:53:13.239Z,North Pacific Ocean,31.5042,-133.351,6,United States,Northern America,North America
2022-10-31T21:42:50.853Z,"12 km WSW of Tortora Marina, Italy",39.8773,15.6395,5.5,Italy,Southern Europe,Europe
2022-10-31T13:22:44.105Z,"119 km N of Alianza Cristiana, Peru",-2.4103,-76.2393,5.6,Ecuador,Southern America,South America
2022-10-31T08:14:26.353Z,Southeast of Easter Island,-39.2143,-92.4382,5.8,Chile,Southern America,South America
2022-10-29T00:09:47.791Z,"66 km WSW of Santiago, Peru",-14.5133,-76.2261,5.8,Peru,Southern America,South America
2022-10-28T20:22:05.733Z,"62 km SW of Santiago, Peru",-14.5218,-76.1705,5.9,Peru,Southern America,South America
2022-10-28T03:55:58.910Z,East of the North Island of New Zealand,-35.6283,-179.2027,5.5,New Zealand,Australia and New Zealand,Oceania
2022-10-25T14:59:00.085Z,"11 km E of Dolores, Philippines",17.6609,120.8147,6.4,Philippines,South-eastern Asia,Asia
2022-10-25T00:13:01.678Z,,-58.7769,-26.1414,6.3,South Georgia and the South Sandwich Islands,Southern America,South America
2022-10-24T07:51:00.581Z,"107 km NNE of Hihifo, Tonga",-15.1416,-173.2502,5.7,Tonga,Polynesia,Oceania
2022-10-20T11:57:12.575Z,"60 km SSW of Boca Chica, Panama",7.6901,-82.3342,6.7,Panama,Central America,North America
2022-10-19T15:03:02.176Z,"81 km ENE of Georgetown, Saint Helena",-7.7427,-13.6947,5.8,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa
2022-10-19T08:05:40.546Z,"6 km SW of Magsaysay, Philippines",6.7327,125.1351,5.5,Philippines,South-eastern Asia,Asia
2022-10-16T12:48:21.665Z,Off the coast of Central America,4.3584,-87.5675,6.3,Ecuador,Southern America,South America
2022-10-13T22:20:20.620Z,"155 km ESE of Kokopo, Papua New Guinea",-4.812,153.5906,6.4,Papua New Guinea,Melanesia,Oceania
2022-10-10T19:24:39.976Z,"69 km E of Hualien City, Taiwan",23.9304,122.2867,5.5,Taiwan,Eastern Asia,Asia
2022-10-09T16:38:04.811Z,Central Mid-Atlantic Ridge,-1.3636,-23.9041,6.2,Brazil,Southern America,South America
2022-10-08T14:42:18.440Z,Pacific-Antarctic Ridge,-54.1838,-132.953,5.7,Pitcairn,Polynesia,Oceania
2022-10-07T09:24:52.516Z,"99 km NE of Hihifo, Tonga",-15.2451,-173.2323,5.5,Tonga,Polynesia,Oceania
2022-10-05T08:26:19.474Z,"1 km S of Huangala, Peru",-4.8548,-80.5995,5.8,Peru,Southern America,South America
2022-10-05T00:21:29.702Z,"8 km SE of Khowy, Iran",38.5064,45.0259,5.6,Iran,Southern Asia,Asia
2022-10-02T19:00:22.031Z,"69 km E of La Rivera, Mexico",23.4994,-108.9089,5.7,Mexico,Central America,North America
2022-10-02T13:05:39.494Z,South Sandwich Islands region,-57.7374,-25.381,5.7,South Georgia and the South Sandwich Islands,Southern America,South America
2022-10-02T07:32:25.031Z,Mid-Indian Ridge,-37.9271,77.9202,5.7,French Southern Territories,Eastern Africa,Africa
2022-10-01T16:36:49.716Z,"102 km SSW of Manuel Ávila Camacho (Ponte Duro), Mexico",14.9867,-94.0236,5.5,Mexico,Central America,North America
2022-10-01T15:02:32.377Z,"26 km SE of Kushima, Japan",31.3495,131.4691,5.7,Japan,Eastern Asia,Asia
2022-10-01T01:18:53.386Z,Reykjanes Ridge,53.7049,-35.5074,6,Greenland,Northern America,North America
2022-09-30T19:28:40.152Z,"41 km NNE of Sibolga, Indonesia",2.1277,98.9004,5.9,Indonesia,South-eastern Asia,Asia
2022-09-29T22:59:01.286Z,Southeast of the Loyalty Islands,-22.9136,172.2913,5.7,Vanuatu,Melanesia,Oceania
2022-09-29T22:22:36.730Z,"78 km SE of Mawlaik, Myanmar",23.1002,94.8968,5.6,Myanmar,South-eastern Asia,Asia
2022-09-29T15:32:29.909Z,,53.7011,-35.1138,5.8,Greenland,Northern America,North America
2022-09-29T03:03:24.073Z,East of the South Sandwich Islands,-60.8308,-20.025,6.5,South Georgia and the South Sandwich Islands,Southern America,South America
2022-09-28T22:34:46.906Z,Northern East Pacific Rise,8.4887,-102.8023,5.5,Mexico,Central America,North America
2022-09-26T09:59:56.330Z,Reykjanes Ridge,53.992,-35.2307,5.8,Greenland,Northern America,North America
2022-09-23T22:53:27.870Z,"156 km WNW of Ancud, Chile",-41.3788,-75.5767,6.1,Chile,Southern America,South America
2022-09-23T20:52:58.398Z,"37 km SSW of Meulaboh, Indonesia",3.8109,96.0514,6.2,Indonesia,South-eastern Asia,Asia
2022-09-22T06:16:09.459Z,"55 km SSW of Aguililla, Mexico",18.2633,-102.9554,6.8,Mexico,Central America,North America
2022-09-21T09:30:47.228Z,"136 km N of Lae, Papua New Guinea",-5.49,147.0059,5.7,Papua New Guinea,Melanesia,Oceania
2022-09-20T18:23:42.896Z,"254 km ESE of Ust’-Kamchatsk Staryy, Russia",55.5042,166.3282,6,Russia,Eastern Europe,Europe
2022-09-20T08:17:10.977Z,"20 km S of La Placita de Morelos, Mexico",18.3487,-103.6243,5.8,Mexico,Central America,North America
2022-09-19T18:05:08.217Z,"35 km SSW of Aguililla, Mexico",18.4552,-102.9561,7.6,Mexico,Central America,North America
2022-09-19T16:42:57.380Z,Mid-Indian Ridge,-36.9187,78.3274,5.9,French Southern Territories,Eastern Africa,Africa
2022-09-19T02:07:42.832Z,"68 km SSW of Hualien City, Taiwan",23.371,121.4499,5.5,Taiwan,Eastern Asia,Asia
2022-09-18T09:41:45.809Z,"165 km W of Lata, Solomon Islands",-10.7758,164.2895,5.7,Solomon Islands,Melanesia,Oceania
2022-09-18T09:39:56.516Z,"80 km SE of Lugu, Taiwan",23.2178,121.2918,5.9,Taiwan,Eastern Asia,Asia
2022-09-18T08:09:58.854Z,"166 km W of Itoman, Japan",26.2583,126.0051,5.7,Japan,Eastern Asia,Asia
2022-09-18T06:44:13.846Z,"90 km E of Yujing, Taiwan",23.138,121.3439,6.9,Taiwan,Eastern Asia,Asia
2022-09-18T05:19:17.747Z,"87 km E of Yujing, Taiwan",23.0986,121.3134,5.6,Taiwan,Eastern Asia,Asia
2022-09-17T14:45:27.429Z,Taiwan region,22.9547,121.2227,5.5,Taiwan,Eastern Asia,Asia
2022-09-17T13:41:17.890Z,"96 km SE of Lugu, Taiwan",23.1191,121.4138,6.5,Taiwan,Eastern Asia,Asia
2022-09-16T23:58:17.087Z,Southeast of the Loyalty Islands,-22.2506,171.0023,5.5,New Caledonia,Melanesia,Oceania
2022-09-14T11:04:06.558Z,"209 km SSE of Isangel, Vanuatu",-21.1909,170.2666,7,Vanuatu,Melanesia,Oceania
2022-09-14T05:08:04.523Z,"283 km SSE of Ta`?, American Samoa",-16.7075,-168.8394,5.8,American Samoa,Polynesia,Oceania
2022-09-12T08:14:39.695Z,"160 km E of Pondaguitan, Philippines",6.1524,127.6087,5.7,Philippines,South-eastern Asia,Asia
2022-09-11T09:06:51.529Z,Fiji region,-20.9669,-178.9761,5.5,Tonga,Polynesia,Oceania
2022-09-10T23:47:00.233Z,"70 km E of Kainantu, Papua New Guinea",-6.2944,146.5038,7.6,Papua New Guinea,Melanesia,Oceania
2022-09-10T23:24:00.499Z,"179 km WSW of Pariaman, Indonesia",-1.2041,98.618,5.7,Indonesia,South-eastern Asia,Asia
2022-09-10T23:10:43.721Z,"173 km WSW of Pariaman, Indonesia",-1.149,98.654,6,Indonesia,South-eastern Asia,Asia
2022-09-10T00:05:12.947Z,"260 km ESE of Biak, Indonesia",-2.2313,138.1784,6.2,Indonesia,South-eastern Asia,Asia
2022-09-09T23:44:11.525Z,"262 km ESE of Biak, Indonesia",-2.2644,138.1792,5.9,Indonesia,South-eastern Asia,Asia
2022-09-09T23:31:47.409Z,"Papua, Indonesia",-2.2492,138.1979,6.2,Indonesia,South-eastern Asia,Asia
2022-09-08T07:36:23.175Z,"45 km SW of Lixoúri, Greece",37.8942,20.0987,5.5,Greece,Southern Europe,Europe
2022-09-07T06:07:48.663Z,Southern East Pacific Rise,-54.4629,-119.5824,5.9,Chile,Southern America,South America
2022-09-06T12:14:07.949Z,South Sandwich Islands region,-56.5257,-25.7614,5.7,South Georgia and the South Sandwich Islands,Southern America,South America
2022-09-06T08:32:40.507Z,South Sandwich Islands region,-56.5739,-25.7663,5.9,South Georgia and the South Sandwich Islands,Southern America,South America
2022-09-05T04:52:19.645Z,"44 km SE of Kangding, China",29.6786,102.236,6.6,China,Eastern Asia,Asia
2022-09-04T23:57:31.734Z,Southern East Pacific Rise,-56.0375,-124.478,6.2,Pitcairn,Polynesia,Oceania
2022-09-04T09:42:18.219Z,Central Mid-Atlantic Ridge,-0.9339,-21.7155,6.9,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa
2022-09-02T22:39:51.520Z,"110 km WNW of Kandrian, Papua New Guinea",-5.6524,148.7121,6.1,Papua New Guinea,Melanesia,Oceania
2022-08-30T09:09:43.266Z,,-54.6506,-136.1522,6.3,Pitcairn,Polynesia,Oceania
2022-08-30T08:00:00.603Z,Pacific-Antarctic Ridge,-54.7581,-136.25,5.5,Pitcairn,Polynesia,Oceania
2022-08-29T18:10:52.537Z,South of the Kermadec Islands,-32.6275,-179.1382,5.7,New Zealand,Australia and New Zealand,Oceania
2022-08-29T12:55:57.259Z,"23 km NNE of Yigo Village, Guam",13.7441,144.9427,5.7,Guam,Micronesia,Oceania
2022-08-29T12:19:38.362Z,"126 km ENE of Naze, Japan",28.8646,130.6526,5.5,Japan,Eastern Asia,Asia
2022-08-29T03:29:13.691Z,"173 km WSW of Pariaman, Indonesia",-0.988,98.6046,6.2,Indonesia,South-eastern Asia,Asia
2022-08-28T22:34:37.140Z,"Kepulauan Mentawai region, Indonesia",-1.0173,98.6652,5.7,Indonesia,South-eastern Asia,Asia
2022-08-28T18:48:02.094Z,Fiji region,-21.7744,-176.9215,5.6,Tonga,Polynesia,Oceania
2022-08-23T14:31:39.374Z,"119 km S of Pagar Alam, Indonesia",-5.0926,103.079,6.2,Indonesia,South-eastern Asia,Asia
2022-08-21T10:28:01.017Z,"50 km NW of Bahía de Caráquez, Ecuador",-0.2372,-80.6958,5.5,Ecuador,Southern America,South America
2022-08-19T07:12:43.133Z,Southern Mid-Atlantic Ridge,-20.3966,-11.6091,5.5,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa
2022-08-18T07:46:27.625Z,"Minahasa, Sulawesi, Indonesia",0.3574,124.3718,5.5,Indonesia,South-eastern Asia,Asia
